target,in_inter,N,rank_marginal,selfauroc_marginal,rank_residualized,selfauroc_residualized,rank_within_tissue,selfauroc_within_tissue,rank_irm,selfauroc_irm,rank_dann,selfauroc_dann,rank_adae,selfauroc_adae
UBR4,True,1071,1004,0.06261682242990654,139,0.8710280373831776,924,0.13738317757009347,755,0.2953271028037383,674,0.3710280373831776,669,0.37570093457943926
UMPS,True,1071,43,0.9607476635514018,119,0.8897196261682243,30,0.9728971962616823,78,0.9280373831775701,14,0.9878504672897196,898,0.1616822429906542
UROD,True,1071,163,0.8485981308411215,159,0.8523364485981308,242,0.7747663551401869,179,0.8336448598130841,428,0.6009345794392523,79,0.9271028037383178
USP7,True,1071,230,0.7859813084112149,22,0.9803738317757009,198,0.8158878504672897,154,0.8570093457943925,132,0.8775700934579439,403,0.6242990654205608
UTP4,True,1071,331,0.6915887850467289,699,0.34766355140186916,278,0.7411214953271028,412,0.6158878504672897,439,0.5906542056074766,479,0.5532710280373832
VPS25,False,1071,528,0.5074766355140187,116,0.8925233644859814,485,0.5476635514018692,642,0.4009345794392523,738,0.31121495327102805,82,0.9242990654205607
WDR1,True,1071,1031,0.037383177570093455,1062,0.008411214953271028,1024,0.04392523364485981,847,0.20934579439252338,998,0.06822429906542056,835,0.2205607476635514
WDR73,True,1071,225,0.7906542056074767,262,0.7560747663551401,174,0.8383177570093457,307,0.7140186915887851,95,0.9121495327102803,960,0.10373831775700934
WDR77,True,1071,463,0.5682242990654206,285,0.7345794392523365,413,0.6149532710280374,754,0.29626168224299065,435,0.594392523364486,923,0.1383177570093458
WDR82,True,1071,985,0.08037383177570094,671,0.37383177570093457,990,0.07570093457943926,944,0.11869158878504672,706,0.3411214953271028,1021,0.04672897196261682
WEE1,False,1071,740,0.30934579439252335,351,0.6728971962616822,694,0.35233644859813085,996,0.07009345794392523,479,0.5532710280373832,1046,0.02336448598130841
WNK1,True,1071,20,0.9822429906542056,9,0.9925233644859813,14,0.9878504672897196,26,0.9766355140186916,14,0.9878504672897196,961,0.102803738317757
YARS2,True,1071,81,0.9252336448598131,52,0.9523364485981308,59,0.9457943925233645,94,0.9130841121495327,64,0.9411214953271028,292,0.72803738317757
YPEL5,True,1071,22,0.9803738317757009,11,0.9906542056074766,18,0.9841121495327103,11,0.9906542056074766,31,0.9719626168224299,69,0.9364485981308411
YRDC,True,1071,941,0.12149532710280374,798,0.25514018691588786,912,0.1485981308411215,950,0.1130841121495327,1006,0.06074766355140187,651,0.3925233644859813
